"Id","Type","KOfam","COG_CATEGORY"
"MG_K00009","KO_coverage","mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]","Carbohydrate transport and metabolism"
"MG_K01485","KO_coverage","cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]","Nucleotide transport and metabolism"
"MG_K01643","KO_coverage","citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]","Energy production and conversion"
"MG_K01646","KO_coverage","citrate lyase subunit gamma (acyl carrier protein)","Energy production and conversion"
"MG_K01995","KO_coverage","branched-chain amino acid transport system ATP-binding protein","Amino acid transport and metabolism"
"MG_K02795","KO_coverage","mannose PTS system EIIC component","Carbohydrate transport and metabolism"
"MG_K03484","KO_coverage","LacI family transcriptional regulator, sucrose operon repressor","Transcription"
"MG_K03521","KO_coverage","electron transfer flavoprotein beta subunit","Energy production and conversion"
"MG_K03785","KO_coverage","3-dehydroquinate dehydratase I [EC:4.2.1.10]","Amino acid transport and metabolism"
"MG_K04063","KO_coverage","lipoyl-dependent peroxiredoxin [EC:1.11.1.28]","Defense mechanisms"
"MG_K07029","KO_coverage","diacylglycerol kinase (ATP) [EC:2.7.1.107]","Lipid transport and metabolism"
"MG_K07444","KO_coverage","putative N6-adenine-specific DNA methylase [EC:2.1.1.-]","Translation, ribosomal structure and biogenesis"
"MG_K07482","KO_coverage","transposase, IS30 family","Mobilome: prophages, transposons"
"MG_K07793","KO_coverage","putative tricarboxylic transport membrane protein","General function prediction only"
"MG_K11477","KO_coverage","glc operon protein GlcG","Signal transduction mechanisms"
"MG_K12554","KO_coverage","alanine adding enzyme [EC:2.3.2.-]","Cell wall/membrane/envelope biogenesis"
"MG_K19005","KO_coverage","lipoteichoic acid synthase [EC:2.7.8.20]","Cell wall/membrane/envelope biogenesis"
"MG_K23779","KO_coverage","XRE family transcriptional regulator, regulator of sulfur utilization","Transcription"
"MG_K24180","KO_coverage","malate permease and related proteins","General function prediction only"
"MT_K01174","KO_Expression","micrococcal nuclease [EC:3.1.31.1]",NA
"MG_K00004","KO_coverage","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]","Amino acid transport and metabolism"
"MG_K01838","KO_coverage","beta-phosphoglucomutase [EC:5.4.2.6]","Carbohydrate transport and metabolism"
"MG_K01989","KO_coverage","putative tryptophan/tyrosine transport system substrate-binding protein","General function prediction only"
"MG_K02825","KO_coverage","pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]","Nucleotide transport and metabolism"
"MG_K03367","KO_coverage","D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]","Secondary metabolites biosynthesis, transport and catabolism"
"MG_K00029","KO_coverage","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Energy production and conversion"
"MG_K00052","KO_coverage","3-isopropylmalate dehydrogenase [EC:1.1.1.85]","Energy production and conversion"
"MG_K00053","KO_coverage","ketol-acid reductoisomerase [EC:1.1.1.86]","Amino acid transport and metabolism"
"MG_K00111","KO_coverage","glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]","Energy production and conversion"
"MG_K00133","KO_coverage","aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]","Amino acid transport and metabolism"
"MG_K00163","KO_coverage","pyruvate dehydrogenase E1 component [EC:1.2.4.1]","Energy production and conversion"
"MG_K00215","KO_coverage","4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]","Amino acid transport and metabolism"
"MG_K00240","KO_coverage","succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]","Energy production and conversion"
"MG_K00243","KO_coverage","uncharacterized protein","General function prediction only"
"MG_K00265","KO_coverage","glutamate synthase (NADPH) large chain [EC:1.4.1.13]","Amino acid transport and metabolism"
"MG_K00266","KO_coverage","glutamate synthase (NADPH) small chain [EC:1.4.1.13]","Amino acid transport and metabolism"
"MG_K00286","KO_coverage","pyrroline-5-carboxylate reductase [EC:1.5.1.2]","Amino acid transport and metabolism"
"MG_K00364","KO_coverage","GMP reductase [EC:1.7.1.7]","Nucleotide transport and metabolism"
"MG_K00383","KO_coverage","glutathione reductase (NADPH) [EC:1.8.1.7]","Energy production and conversion"
"MG_K00411","KO_coverage","ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]","Energy production and conversion"
"MG_K00412","KO_coverage","ubiquinol-cytochrome c reductase cytochrome b subunit","Energy production and conversion"
"MG_K00426","KO_coverage","cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]","Energy production and conversion"
"MG_K00537","KO_coverage","arsenate reductase (glutaredoxin) [EC:1.20.4.1]","Inorganic ion transport and metabolism"
"MG_K00564","KO_coverage","16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]","Translation, ribosomal structure and biogenesis"
"MG_K00574","KO_coverage","cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]","Lipid transport and metabolism"
"MG_K00602","KO_coverage","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]","Nucleotide transport and metabolism"
"MG_K00616","KO_coverage","transaldolase [EC:2.2.1.2]","Carbohydrate transport and metabolism"
"MG_K00640","KO_coverage","serine O-acetyltransferase [EC:2.3.1.30]","Amino acid transport and metabolism"
"MG_K00651","KO_coverage","homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]","Amino acid transport and metabolism"
"MG_K00656","KO_coverage","formate C-acetyltransferase [EC:2.3.1.54]","Energy production and conversion"
"MG_K00661","KO_coverage","maltose O-acetyltransferase [EC:2.3.1.79]","General function prediction only"
"MG_K00793","KO_coverage","riboflavin synthase [EC:2.5.1.9]","Coenzyme transport and metabolism"
"MG_K00799","KO_coverage","glutathione S-transferase [EC:2.5.1.18]","Posttranslational modification, protein turnover, chaperones"
"MG_K00820","KO_coverage","glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]","Cell wall/membrane/envelope biogenesis"
"MG_K00826","KO_coverage","branched-chain amino acid aminotransferase [EC:2.6.1.42]","Amino acid transport and metabolism"
"MG_K00849","KO_coverage","galactokinase [EC:2.7.1.6]","Carbohydrate transport and metabolism"
"MG_K00852","KO_coverage","ribokinase [EC:2.7.1.15]","Carbohydrate transport and metabolism"
"MG_K00865","KO_coverage","glycerate 2-kinase [EC:2.7.1.165]","Carbohydrate transport and metabolism"
"MG_K00882","KO_coverage","1-phosphofructokinase [EC:2.7.1.56]","Carbohydrate transport and metabolism"
"MG_K00891","KO_coverage","shikimate kinase [EC:2.7.1.71]","Amino acid transport and metabolism"
"MG_K00912","KO_coverage","tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]","Cell wall/membrane/envelope biogenesis"
"MG_K00950","KO_coverage","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]","Coenzyme transport and metabolism"
"MG_K00995","KO_coverage","CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]","Lipid transport and metabolism"
"MG_K01079","KO_coverage","phosphoserine phosphatase [EC:3.1.3.3]","Amino acid transport and metabolism"
"MG_K01190","KO_coverage","beta-galactosidase [EC:3.2.1.23]","Carbohydrate transport and metabolism"
"MG_K01246","KO_coverage","DNA-3-methyladenine glycosylase I [EC:3.2.2.20]","Replication, recombination and repair"
"MG_K01262","KO_coverage","Xaa-Pro aminopeptidase [EC:3.4.11.9]","Amino acid transport and metabolism"
"MG_K01424","KO_coverage","L-asparaginase [EC:3.5.1.1]","Translation, ribosomal structure and biogenesis"
"MG_K01449","KO_coverage","N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]","Cell cycle control, cell division, chromosome partitioning"
"MG_K01495","KO_coverage","GTP cyclohydrolase IA [EC:3.5.4.16]","Coenzyme transport and metabolism"
"MG_K01515","KO_coverage","ADP-ribose diphosphatase [EC:3.6.1.13 3.6.1.-]","Defense mechanisms"
"MG_K01524","KO_coverage","exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]","Nucleotide transport and metabolism"
"MG_K01586","KO_coverage","diaminopimelate decarboxylase [EC:4.1.1.20]","Amino acid transport and metabolism"
"MG_K01588","KO_coverage","5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]","Nucleotide transport and metabolism"
"MG_K01595","KO_coverage","phosphoenolpyruvate carboxylase [EC:4.1.1.31]","Energy production and conversion"
"MG_K01610","KO_coverage","phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]","Energy production and conversion"
"MG_K01613","KO_coverage","phosphatidylserine decarboxylase [EC:4.1.1.65]","Lipid transport and metabolism"
"MG_K01626","KO_coverage","3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]","Amino acid transport and metabolism"
"MG_K01638","KO_coverage","malate synthase [EC:2.3.3.9]","Energy production and conversion"
"MG_K01649","KO_coverage","2-isopropylmalate synthase [EC:2.3.3.13]","Amino acid transport and metabolism"
"MG_K01652","KO_coverage","acetolactate synthase I/II/III large subunit [EC:2.2.1.6]","Amino acid transport and metabolism"
"MG_K01687","KO_coverage","dihydroxy-acid dehydratase [EC:4.2.1.9]","Amino acid transport and metabolism"
"MG_K01704","KO_coverage","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]","Amino acid transport and metabolism"
"MG_K01735","KO_coverage","3-dehydroquinate synthase [EC:4.2.3.4]","Nucleotide transport and metabolism"
"MG_K01736","KO_coverage","chorismate synthase [EC:4.2.3.5]","Amino acid transport and metabolism"
"MG_K01737","KO_coverage","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]","Coenzyme transport and metabolism"
"MG_K01738","KO_coverage","cysteine synthase [EC:2.5.1.47]","Amino acid transport and metabolism"
"MG_K01749","KO_coverage","hydroxymethylbilane synthase [EC:2.5.1.61]","Coenzyme transport and metabolism"
"MG_K01755","KO_coverage","argininosuccinate lyase [EC:4.3.2.1]","Amino acid transport and metabolism"
"MG_K01759","KO_coverage","lactoylglutathione lyase [EC:4.4.1.5]","Secondary metabolites biosynthesis, transport and catabolism"
"MG_K01772","KO_coverage","protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]","Coenzyme transport and metabolism"
"MG_K01802","KO_coverage","peptidylprolyl isomerase [EC:5.2.1.8]","Posttranslational modification, protein turnover, chaperones"
"MG_K01807","KO_coverage","ribose 5-phosphate isomerase A [EC:5.3.1.6]","Carbohydrate transport and metabolism"
"MG_K01817","KO_coverage","phosphoribosylanthranilate isomerase [EC:5.3.1.24]","Amino acid transport and metabolism"
"MG_K01823","KO_coverage","isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]","Lipid transport and metabolism"
"MG_K01839","KO_coverage","phosphopentomutase [EC:5.4.2.7]","Carbohydrate transport and metabolism"
"MG_K01915","KO_coverage","glutamine synthetase [EC:6.3.1.2]","Amino acid transport and metabolism"
"MG_K01919","KO_coverage","glutamate--cysteine ligase [EC:6.3.2.2]","Cell wall/membrane/envelope biogenesis"
"MG_K01920","KO_coverage","glutathione synthase [EC:6.3.2.3]","Amino acid transport and metabolism"
"MG_K01940","KO_coverage","argininosuccinate synthase [EC:6.3.4.5]","Amino acid transport and metabolism"
"MG_K01945","KO_coverage","phosphoribosylamine---glycine ligase [EC:6.3.4.13]","Nucleotide transport and metabolism"
"MG_K01953","KO_coverage","asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]","Amino acid transport and metabolism"
"MG_K01961","KO_coverage","acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]","Lipid transport and metabolism"
"MG_K02015","KO_coverage","iron complex transport system permease protein","Inorganic ion transport and metabolism"
"MG_K02016","KO_coverage","iron complex transport system substrate-binding protein","Inorganic ion transport and metabolism"
"MG_K02071","KO_coverage","D-methionine transport system ATP-binding protein","Amino acid transport and metabolism"
"MG_K02073","KO_coverage","D-methionine transport system substrate-binding protein","Inorganic ion transport and metabolism"
"MG_K02114","KO_coverage","F-type H+-transporting ATPase subunit epsilon","Energy production and conversion"
"MG_K02274","KO_coverage","cytochrome c oxidase subunit I [EC:7.1.1.9]","Energy production and conversion"
"MG_K02334","KO_coverage","DNA polymerase bacteriophage-type [EC:2.7.7.7]","Replication, recombination and repair"
"MG_K02346","KO_coverage","DNA polymerase IV [EC:2.7.7.7]","Replication, recombination and repair"
"MG_K02437","KO_coverage","glycine cleavage system H protein","Amino acid transport and metabolism"
"MG_K02440","KO_coverage","glycerol uptake facilitator protein","Carbohydrate transport and metabolism"
"MG_K02470","KO_coverage","DNA gyrase subunit B [EC:5.6.2.2]","Replication, recombination and repair"
"MG_K02483","KO_coverage","two-component system, OmpR family, response regulator","Signal transduction mechanisms"
"MG_K02529","KO_coverage","LacI family transcriptional regulator","Transcription"
"MG_K02621","KO_coverage","topoisomerase IV subunit A [EC:5.6.2.2]","Replication, recombination and repair"
"MG_K02650","KO_coverage","type IV pilus assembly protein PilA","Cell motility"
"MG_K02687","KO_coverage","ribosomal protein L11 methyltransferase [EC:2.1.1.-]","Translation, ribosomal structure and biogenesis"
"MG_K02768","KO_coverage","fructose PTS system EIIA component [EC:2.7.1.202]","Carbohydrate transport and metabolism"
"MG_K02824","KO_coverage","uracil permease","Nucleotide transport and metabolism"
"MG_K03089","KO_coverage","RNA polymerase sigma-32 factor","Transcription"
"MG_K03181","KO_coverage","chorismate lyase [EC:4.1.3.40]","Coenzyme transport and metabolism"
"MG_K03269","KO_coverage","UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]","Cell wall/membrane/envelope biogenesis"
"MG_K03284","KO_coverage","magnesium transporter","Inorganic ion transport and metabolism"
"MG_K03286","KO_coverage","OmpA-OmpF porin, OOP family","Cell wall/membrane/envelope biogenesis"
"MG_K03305","KO_coverage","proton-dependent oligopeptide transporter, POT family","Amino acid transport and metabolism"
"MG_K03311","KO_coverage","branched-chain amino acid:cation transporter, LIVCS family","Amino acid transport and metabolism"
"MG_K03320","KO_coverage","ammonium transporter, Amt family","Inorganic ion transport and metabolism"
"MG_K03402","KO_coverage","transcriptional regulator of arginine metabolism","Transcription"
"MG_K03431","KO_coverage","phosphoglucosamine mutase [EC:5.4.2.10]","Carbohydrate transport and metabolism"
"MG_K03469","KO_coverage","ribonuclease HI [EC:3.1.26.4]","Replication, recombination and repair"
"MG_K03500","KO_coverage","16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]","Translation, ribosomal structure and biogenesis"
"MG_K03549","KO_coverage","KUP system potassium uptake protein","Inorganic ion transport and metabolism"
"MG_K03574","KO_coverage","8-oxo-dGTP diphosphatase [EC:3.6.1.55]","Nucleotide transport and metabolism"
"MG_K03609","KO_coverage","septum site-determining protein MinD","Cell cycle control, cell division, chromosome partitioning"
"MG_K03610","KO_coverage","septum site-determining protein MinC","Cell cycle control, cell division, chromosome partitioning"
"MG_K03616","KO_coverage","H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.1.1.11 7.2.1.2]","Energy production and conversion"
"MG_K03617","KO_coverage","H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A","Energy production and conversion"
"MG_K03630","KO_coverage","DNA repair protein RadC","Replication, recombination and repair"
"MG_K03644","KO_coverage","lipoyl synthase [EC:2.8.1.8]","Coenzyme transport and metabolism"
"MG_K03647","KO_coverage","protein involved in ribonucleotide reduction","Nucleotide transport and metabolism"
"MG_K03667","KO_coverage","ATP-dependent HslUV protease ATP-binding subunit HslU","Posttranslational modification, protein turnover, chaperones"
"MG_K03704","KO_coverage","cold shock protein","Transcription"
"MG_K03719","KO_coverage","Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein","Transcription"
"MG_K03746","KO_coverage","DNA-binding protein H-NS","Transcription"
"MG_K03781","KO_coverage","catalase [EC:1.11.1.6]","Inorganic ion transport and metabolism"
"MG_K03799","KO_coverage","heat shock protein HtpX [EC:3.4.24.-]","Posttranslational modification, protein turnover, chaperones"
"MG_K03885","KO_coverage","NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]","Energy production and conversion"
"MG_K03925","KO_coverage","transcriptional regulator MraZ","Translation, ribosomal structure and biogenesis"
"MG_K04042","KO_coverage","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]","Cell wall/membrane/envelope biogenesis"
"MG_K04047","KO_coverage","starvation-inducible DNA-binding protein","Inorganic ion transport and metabolism"
"MG_K04069","KO_coverage","pyruvate formate lyase activating enzyme [EC:1.97.1.4]","Posttranslational modification, protein turnover, chaperones"
"MG_K04072","KO_coverage","acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]","Lipid transport and metabolism"
"MG_K04079","KO_coverage","molecular chaperone HtpG","Posttranslational modification, protein turnover, chaperones"
"MG_K04083","KO_coverage","molecular chaperone Hsp33","Posttranslational modification, protein turnover, chaperones"
"MG_K04094","KO_coverage","methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]","Translation, ribosomal structure and biogenesis"
"MG_K04095","KO_coverage","cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]","Signal transduction mechanisms"
"MG_K04759","KO_coverage","ferrous iron transport protein B","Inorganic ion transport and metabolism"
"MG_K04763","KO_coverage","integrase/recombinase XerD","Replication, recombination and repair"
"MG_K05595","KO_coverage","multiple antibiotic resistance protein","Amino acid transport and metabolism"
"MG_K05799","KO_coverage","GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex","Transcription"
"MG_K05837","KO_coverage","rod shape determining protein RodA","Cell cycle control, cell division, chromosome partitioning"
"MG_K06006","KO_coverage","periplasmic protein CpxP/Spy","Posttranslational modification, protein turnover, chaperones"
"MG_K06077","KO_coverage","outer membrane lipoprotein SlyB","Cell wall/membrane/envelope biogenesis"
"MG_K06181","KO_coverage","23S rRNA pseudouridine2457 synthase [EC:5.4.99.20]","Translation, ribosomal structure and biogenesis"
"MG_K06193","KO_coverage","protein PhnA","General function prediction only"
"MG_K06194","KO_coverage","lipoprotein NlpD","Cell wall/membrane/envelope biogenesis"
"MG_K06201","KO_coverage","copper homeostasis protein","Inorganic ion transport and metabolism"
"MG_K06207","KO_coverage","GTP-binding protein","Signal transduction mechanisms"
"MG_K06287","KO_coverage","nucleoside triphosphate pyrophosphatase [EC:3.6.1.-]","Secondary metabolites biosynthesis, transport and catabolism"
"MG_K06518","KO_coverage","holin-like protein","General function prediction only"
"MG_K06726","KO_coverage","D-ribose pyranase [EC:5.4.99.62]","Carbohydrate transport and metabolism"
"MG_K06866","KO_coverage","autonomous glycyl radical cofactor","Coenzyme transport and metabolism"
"MG_K06896","KO_coverage","maltose 6'-phosphate phosphatase [EC:3.1.3.90]","General function prediction only"
"MG_K06920","KO_coverage","7-cyano-7-deazaguanine synthase [EC:6.3.4.20]","Translation, ribosomal structure and biogenesis"
"MG_K06940","KO_coverage","uncharacterized protein","General function prediction only"
"MG_K06969","KO_coverage","23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]","Translation, ribosomal structure and biogenesis"
"MG_K07038","KO_coverage","inner membrane protein","General function prediction only"
"MG_K07040","KO_coverage","DUF177 domain-containing protein","Translation, ribosomal structure and biogenesis"
"MG_K07126","KO_coverage","uncharacterized protein","General function prediction only"
"MG_K07173","KO_coverage","S-ribosylhomocysteine lyase [EC:4.4.1.21]","Signal transduction mechanisms"
"MG_K07287","KO_coverage","outer membrane protein assembly factor BamC","Cell wall/membrane/envelope biogenesis"
"MG_K07407","KO_coverage","alpha-galactosidase [EC:3.2.1.22]","Carbohydrate transport and metabolism"
"MG_K07483","KO_coverage","transposase","Mobilome: prophages, transposons"
"MG_K07486","KO_coverage","transposase","Mobilome: prophages, transposons"
"MG_K07491","KO_coverage","REP-associated tyrosine transposase","Mobilome: prophages, transposons"
"MG_K07552","KO_coverage","MFS transporter, DHA1 family, multidrug resistance protein","Carbohydrate transport and metabolism"
"MG_K08234","KO_coverage","glyoxylase I family protein","Secondary metabolites biosynthesis, transport and catabolism"
"MG_K08305","KO_coverage","membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]","Cell wall/membrane/envelope biogenesis"
"MG_K08659","KO_coverage","dipeptidase [EC:3.4.-.-]","Amino acid transport and metabolism"
"MG_K08968","KO_coverage","L-methionine (R)-S-oxide reductase [EC:1.8.4.14]","Defense mechanisms"
"MG_K09001","KO_coverage","anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]","Cell wall/membrane/envelope biogenesis"
"MG_K09117","KO_coverage","uncharacterized protein","General function prediction only"
"MG_K09710","KO_coverage","ribosome-associated protein","Translation, ribosomal structure and biogenesis"
"MG_K09760","KO_coverage","DNA recombination protein RmuC","Replication, recombination and repair"
"MG_K09811","KO_coverage","cell division transport system permease protein","Cell cycle control, cell division, chromosome partitioning"
"MG_K09812","KO_coverage","cell division transport system ATP-binding protein","Cell cycle control, cell division, chromosome partitioning"
"MG_K09816","KO_coverage","zinc transport system permease protein","Inorganic ion transport and metabolism"
"MG_K09888","KO_coverage","cell division protein ZapA","Cell cycle control, cell division, chromosome partitioning"
"MG_K09907","KO_coverage","uncharacterized protein","General function prediction only"
"MG_K09908","KO_coverage","uncharacterized protein","Function unknown"
"MG_K09962","KO_coverage","uncharacterized protein","Function unknown"
"MG_K10117","KO_coverage","raffinose/stachyose/melibiose transport system substrate-binding protein","Carbohydrate transport and metabolism"
"MG_K10917","KO_coverage","PadR family transcriptional regulator, regulatory protein AphA","Transcription"
"MG_K11068","KO_coverage","hemolysin III","Intracellular trafficking, secretion, and vesicular transport"
"MG_K11069","KO_coverage","spermidine/putrescine transport system substrate-binding protein","Amino acid transport and metabolism"
"MG_K11072","KO_coverage","spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]","Amino acid transport and metabolism"
"MG_K11752","KO_coverage","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]","Coenzyme transport and metabolism"
"MG_K11991","KO_coverage","tRNA(adenine34) deaminase [EC:3.5.4.33]","Translation, ribosomal structure and biogenesis"
"MG_K14060","KO_coverage","putative DNA-invertase from lambdoid prophage Rac","Replication, recombination and repair"
"MG_K14260","KO_coverage","alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]","Amino acid transport and metabolism"
